Station,year,Average
Snake,1962,103.5
Snake,1963,121.25
Snake,1964,114.0833333
Snake,1965,174.8333333
Snake,1966,97.75
Snake,1967,106.5
Snake,1968,114.0833333
Snake,1969,136.4166667
Snake,1970,123.1666667
Snake,1971,166
Snake,1972,163.0833333
Snake,1973,99.5
Snake,1974,172.0833333
Snake,1975,133
Snake,1976,159.75
Snake,1977,74.58333333
Snake,1978,133.1666667
Snake,1979,98.16666667
Snake,1980,101
Snake,1981,111.75
Snake,1982,157.3333333
Snake,1983,162.3333333
Snake,1984,175.25
Snake,1985,123.3333333
Snake,1986,144.1666667
Snake,1987,93.91666667
Snake,1988,71.58333333
Snake,1989,92.83333333
Snake,1990,89.41666667
Snake,1991,90.08333333
Snake,1992,72.16666667
Snake,1993,100
Snake,1994,75.25
Snake,1995,115.3333333
Snake,1996,182.75
Snake,1997,187.8333333
Snake,1998,130.5833333
Snake,1999,142.5833333
Snake,2000,109
Snake,2001,73
Snake,2002,90.16666667
Snake,2003,91.25
Snake,2004,86.83333333
Snake,2005,84.5
Snake,2006,115.0833333
Snake,2007,89.25
Snake,2008,102.4166667
Snake,2009,107
Snake,2010,91.33333333
Snake,2011,146.1666667
Snake,2012,113.9166667
Snake,2013,86.91666667
Snake,2014,99.25
Snake,2015,94
Snake,2016,94.75
Snake,2017,138.5833333
Snake,2018,121.0833333
Snake,2019,97.08333333
Snake,2020,96.58333333
Snake,2021,79.91666667
Snake,2022,91.5
Salmon,1962,98.41666667
Salmon,1963,118.0833333
Salmon,1964,109.75
Salmon,1965,169.9166667
Salmon,1966,95.75
Salmon,1967,109.9166667
Salmon,1968,109.3333333
Salmon,1969,125.1666667
Salmon,1970,117.6666667
Salmon,1971,147.4166667
Salmon,1972,142.5833333
Salmon,1973,95.25
Salmon,1974,150.8333333
Salmon,1975,134.4166667
Salmon,1976,136.5833333
Salmon,1977,83.83333333
Salmon,1978,119.5
Salmon,1979,88.33333333
Salmon,1980,109
Salmon,1981,102.75
Salmon,1982,145.4166667
Salmon,1983,138
Salmon,1984,160.1666667
Salmon,1985,119
Salmon,1986,136.8333333
Salmon,1987,91.33333333
Salmon,1988,81.41666667
Salmon,1989,81.83333333
Salmon,1990,84.25
Salmon,1991,78.83333333
Salmon,1992,73.25
Salmon,1993,103.3333333
Salmon,1994,68.08333333
Salmon,1995,111.6666667
Salmon,1996,133.9166667
Salmon,1997,155.0833333
Salmon,1998,129.0833333
Salmon,1999,125.6666667
Salmon,2000,99.08333333
Salmon,2001,75.08333333
Salmon,2002,77.91666667
Salmon,2003,85.08333333
Salmon,2004,77.58333333
Salmon,2005,75.08333333
Salmon,2006,99.83333333
Salmon,2007,94.5
Salmon,2008,100.4166667
Salmon,2009,111.1666667
Salmon,2010,107.9166667
Salmon,2011,130.5833333
Salmon,2012,125.1666667
Salmon,2013,94.41666667
Salmon,2014,108
Salmon,2015,101.0833333
Salmon,2016,103.8333333
Salmon,2017,171.3333333
Salmon,2018,130.8333333
Salmon,2019,106.4166667
Salmon,2020,93.75
Salmon,2021,75.91666667
Salmon,2022,90.08333333
Clearwater,1962,104.5833333
Clearwater,1963,126.1666667
Clearwater,1964,115.5833333
Clearwater,1965,178.1666667
Clearwater,1966,85.33333333
Clearwater,1967,106.5
Clearwater,1968,138.75
Clearwater,1969,153.0833333
Clearwater,1970,118
Clearwater,1971,151.25
Clearwater,1972,150.25
Clearwater,1973,70.5
Clearwater,1974,179.1666667
Clearwater,1975,125.0833333
Clearwater,1976,187.4166667
Clearwater,1977,64.16666667
Clearwater,1978,166.3333333
Clearwater,1979,82.41666667
Clearwater,1980,90.66666667
Clearwater,1981,125.5833333
Clearwater,1982,145.6666667
Clearwater,1983,120.75
Clearwater,1984,133.4166667
Clearwater,1985,99.08333333
Clearwater,1986,129.75
Clearwater,1987,71.5
Clearwater,1988,62.75
Clearwater,1989,88.91666667
Clearwater,1990,104.0833333
Clearwater,1991,118.0833333
Clearwater,1992,80.66666667
Clearwater,1993,95.41666667
Clearwater,1994,67.08333333
Clearwater,1995,110.8333333
Clearwater,1996,243.75
Clearwater,1997,167.3333333
Clearwater,1998,111.4166667
Clearwater,1999,134.5833333
Clearwater,2000,106.5833333
Clearwater,2001,77.25
Clearwater,2002,112.8333333
Clearwater,2003,100.1666667
Clearwater,2004,100.1666667
Clearwater,2005,101.5833333
Clearwater,2006,97.58333333
Clearwater,2007,103.3333333
Clearwater,2008,110.75
Clearwater,2009,116.75
Clearwater,2010,81.08333333
Clearwater,2011,162.5833333
Clearwater,2012,108
Clearwater,2013,100.4166667
Clearwater,2014,114.4166667
Clearwater,2015,112.8333333
Clearwater,2016,102.4166667
Clearwater,2017,138.3333333
Clearwater,2018,142.8333333
Clearwater,2019,100.3333333
Clearwater,2020,103.5
Clearwater,2021,100.1666667
Clearwater,2022,122.3333333
