Year,Location,Steelhead,Chinook,Snake,Salmon,Clearwater,total_trout,Average
1962,Ice Harbor Dam,,58566,103.5,98.4166667,104.583333,58566,102.1666666
1963,Ice Harbor Dam,108186,43514,121.25,118.083333,126.166667,151700,121.8333333
1964,Ice Harbor Dam,76788,44700,114.083333,109.75,115.583333,121488,113.1388887
1965,Ice Harbor Dam,58028,21900,174.833333,169.916667,178.166667,79928,174.3055557
1966,Ice Harbor Dam,62566,54500,97.75,95.75,85.3333333,117066,92.94444443
1967,Ice Harbor Dam,64987,57700,106.5,109.916667,106.5,122687,107.638889
1968,Ice Harbor Dam,47536,57500,114.083333,109.333333,138.75,105036,120.722222
1969,Lower Monumental Dam,82529,63700,136.416667,125.166667,153.083333,146229,138.2222223
1970,Little Goose Dam,60584,46300,123.166667,117.666667,118,106884,119.6111113
1971,Little Goose Dam,50927,39000,166,147.416667,151.25,89927,154.888889
1972,Little Goose Dam,50670,41700,163.083333,142.583333,150.25,92370,151.972222
1973,Little Goose Dam,40523,42300,99.5,95.25,70.5,82823,88.41666667
1974,Little Goose Dam,26426,18700,172.083333,150.833333,179.166667,45126,167.361111
1975,Lower Granite Dam,10360,17800,133,134.416667,125.083333,28160,130.8333333
1976,Lower Granite Dam,12662,14500,159.75,136.583333,187.416667,27162,161.25
1977,Lower Granite Dam,8987,30800,74.5833333,83.8333333,64.1666667,39787,74.19444443
1978,Lower Granite Dam,22245,42600,133.166667,119.5,166.333333,64845,139.6666667
1979,Lower Granite Dam,13184,5761,98.1666667,88.3333333,82.4166667,18945,89.6388889
1980,Lower Granite Dam,16424,6134,101,109,90.6666667,22558,100.2222222
1981,Lower Granite Dam,21814,11292,111.75,102.75,125.583333,33106,113.361111
1982,Lower Granite Dam,17932,11300,157.333333,145.416667,145.666667,29232,149.4722223
1983,Lower Granite Dam,25231,9838,162.333333,138,120.75,35069,140.361111
1984,Lower Granite Dam,18378,7929,175.25,160.166667,133.416667,26307,156.277778
1985,Lower Granite Dam,24497,10182,123.333333,119,99.0833333,34679,113.8055554
1986,Lower Granite Dam,26708,10109,144.166667,136.833333,129.75,36817,136.9166667
1987,Lower Granite Dam,22076,9622,93.9166667,91.3333333,71.5,31698,85.58333333
1988,Lower Granite Dam,25511,10826,71.5833333,81.4166667,62.75,36337,71.91666667
1989,Lower Granite Dam,20314,6454,92.8333333,81.8333333,88.9166667,26768,87.8611111
1990,Lower Granite Dam,24979,9342,89.4166667,84.25,104.083333,34321,92.58333323
1991,Lower Granite Dam,9289,5756,90.0833333,78.8333333,118.083333,15045,95.66666653
1992,Lower Granite Dam,17317,12673,72.1666667,73.25,80.6666667,29990,75.36111113
1993,Lower Granite Dam,19394,12522,100,103.333333,95.4166667,31916,99.58333323
1994,Lower Granite Dam,9122,1856,75.25,68.0833333,67.0833333,10978,70.13888887
1995,Lower Granite Dam,8104,1167,115.333333,111.666667,110.833333,9271,112.611111
1996,Lower Granite Dam,8055,3643,182.75,133.916667,243.75,11698,186.8055557
1997,Lower Granite Dam,7625,4272,187.833333,155.083333,167.333333,11897,170.083333
1998,Lower Granite Dam,8749,5378,130.583333,129.083333,111.416667,14127,123.6944443
1999,Lower Granite Dam,9375,2695,142.583333,125.666667,134.583333,12070,134.2777777
2000,Lower Granite Dam,11098,7347,109,99.0833333,106.583333,18445,104.8888888
2001,Lower Granite Dam,20575,37063,73,75.0833333,77.25,57638,75.1111111
2002,Lower Granite Dam,40719,27743,90.1666667,77.9166667,112.833333,68462,93.6388888
2003,Lower Granite Dam,41931,29270,91.25,85.0833333,100.166667,71201,92.16666677
2004,Lower Granite Dam,29146,16808,86.8333333,77.5833333,100.166667,45954,88.19444453
2005,Lower Granite Dam,23071,8691,84.5,75.0833333,101.583333,31762,87.05555543
2006,Lower Granite Dam,18130,8775,115.083333,99.8333333,97.5833333,26905,104.1666665
2007,Lower Granite Dam,9510,7694,89.25,94.5,103.333333,17204,95.69444433
2008,Lower Granite Dam,14166,14046,102.416667,100.416667,110.75,28212,104.527778
2009,Lower Granite Dam,23875,12963,107,111.166667,116.75,36838,111.638889
2010,Lower Granite Dam,42739,26281,91.3333333,107.916667,81.0833333,69020,93.44444453
2011,Lower Granite Dam,44133,22407,146.166667,130.583333,162.583333,66540,146.4444443
2012,Lower Granite Dam,39438,20298,113.916667,125.166667,108,59736,115.6944447
2013,Lower Granite Dam,23143,12407,86.9166667,94.4166667,100.416667,35550,93.9166668
2014,Lower Granite Dam,25355,26351,99.25,108,114.416667,51706,107.2222223
2015,Lower Granite Dam,45789,21499,94,101.083333,112.833333,67288,102.6388887
2016,Lower Granite Dam,33936,15939,94.75,103.833333,102.416667,49875,100.3333333
2017,Lower Granite Dam,15576,4108,138.583333,171.333333,138.333333,19684,149.4166663
2018,Lower Granite Dam,10717,6863,121.083333,130.833333,142.833333,17580,131.583333
2019,Lower Granite Dam,8287,4152,97.0833333,106.416667,100.333333,12439,101.2777778
2020,Lower Granite Dam,9634,8565,96.5833333,93.75,103.5,18199,97.94444443
2021,Lower Granite Dam,15478,6563,79.9166667,75.9166667,100.166667,22041,85.33333347
2022,Lower Granite Dam,9807,16048,91.5,90.0833333,122.333333,25855,101.3055554
