site,sample,diversity,detritus
1,1,1.152290258,2
2,1,1.626691189,2
3,1,1.644115792,1
4,1,0.929577689,3
5,1,0.635004757,1
6,1,1.419453161,4
7,1,1.288566335,1
8,1,0.687435751,2
9,1,0.985346264,2
10,1,0,3
11,1,0.887139193,2
12,1,1.070047315,3
13,1,0.654669565,2
1,2,1.149059697,2
2,2,0.950270539,2
3,2,1.098612289,1
4,2,1.162225545,3
5,2,1.039720771,1
6,2,0.900256051,4
7,2,1.377819508,1
8,2,1.098612289,2
9,2,0.673011667,2
10,2,1.217054363,3
11,2,0.73562194,2
12,2,1.164307845,3
13,2,1.279854226,2
